"item","definition","uni_lemma","type","IPA"
392,"please","please","word"," plˈiːz"
393,"shh","shh","word"," ˌɛsˌeɪtʃˈeɪtʃ"
394,"shopping","shopping","word"," ʃˈɑːpɪŋ"
395,"snack","snack","word"," snˈæk"
396,"so big!","so big","word"," sˌoʊ bˈɪɡ"
397,"thank you","thank you","word"," θˈæŋk juː"
398,"this little piggy","this little piggy","word"," ðɪs lˈɪɾəL pˈɪɡi"
399,"turn around","turn around","word"," tˈɜːn ɐɹˈaʊnd"
400,"yes","yes","word"," jˈɛs"
401,"bite","bite","word"," bˈaɪt"
402,"blow","blow","word"," blˈoʊ"
403,"break","break","word"," bɹˈeɪk"
404,"bring","bring","word"," bɹˈɪŋ"
405,"build","build","word"," bˈɪld"
406,"bump","bump","word"," bˈʌmp"
407,"buy","buy","word"," bˈaɪ"
408,"carry","carry","word"," kˈæɹi"
409,"catch","catch","word"," kˈætʃ"
410,"chase","chase","word"," tʃˈeɪs"
411,"clap","clap","word"," klˈæp"
412,"clean","clean (action)","word"," klˈiːn"
413,"climb","climb","word"," klˈaɪm"
414,"close","close","word"," klˈoʊs"
415,"cook","cook","word"," kˈʊk"
416,"cover","cover (action)","word"," kˈʌvɚ"
417,"cry","cry","word"," kɹˈaɪ"
418,"cut","cut","word"," kˈʌt"
419,"dance","dance","word"," dˈæns"
420,"draw","draw","word"," dɹˈɔː"
421,"drink","drink (action)","word"," dɹˈɪŋk"
422,"drive","drive","word"," dɹˈaɪv"
423,"drop","drop","word"," dɹˈɑːp"
424,"dry","dry (action)","word"," dɹˈaɪ"
425,"dump","dump","word"," dˈʌmp"
426,"eat","eat","word"," ˈiːt"
427,"fall","fall","word"," fˈɔːl"
428,"feed","feed","word"," fˈiːd"
429,"find","find","word"," fˈaɪnd"
430,"finish","finish","word"," fˈɪnɪʃ"
431,"fit","fit","word"," fˈɪt"
432,"fix","fix","word"," fˈɪks"
433,"get","get","word"," ɡˈɛt"
434,"give","give","word"," ɡˈɪv"
435,"go","go","word"," ɡˈoʊ"
436,"hate","hate","word"," hˈeɪt"
437,"have","have","word"," hˈæv"
438,"hear","hear","word"," hˈɪɹ"
439,"help","help","word"," hˈɛlp"
440,"hide","hide","word"," hˈaɪd"
441,"hit","hit","word"," hˈɪt"
442,"hold","hold","word"," hˈoʊld"
443,"hug","hug","word"," hˈʌɡ"
444,"hurry","hurry","word"," hˈɜːɹi"
445,"jump","jump","word"," dʒˈʌmp"
446,"kick","kick","word"," kˈɪk"
447,"kiss","kiss","word"," kˈɪs"
448,"knock","knock","word"," nˈɑːk"
449,"lick","lick","word"," lˈɪk"
450,"like","like","word"," lˈaɪk"
451,"listen","listen","word"," lˈɪsən"
452,"look","look","word"," lˈʊk"
453,"love","love","word"," lˈʌv"
454,"make","make","word"," mˈeɪk"
455,"open","open (action)","word"," ˈoʊpən"
456,"paint","paint (action)","word"," pˈeɪnt"
457,"pick","pick","word"," pˈɪk"
458,"play","play","word"," plˈeɪ"
459,"pour","pour","word"," pˈoːɹ"
460,"pretend","pretend","word"," pɹɪtˈɛnd"
461,"pull","pull","word"," pˈʊl"
462,"push","push","word"," pˈʊʃ"
463,"put","put","word"," pˈʊt"
464,"read","read","word"," ɹˈiːd"
465,"ride","ride","word"," ɹˈaɪd"
466,"rip","rip","word"," ɹˈɪp"
467,"run","run","word"," ɹˈʌn"
